Bowler,Team,BowlType,Start Date,Ground,Host Country,year,Inn,Runs,Balls,Wickets,Matches,Runs_grouped,Balls_grouped,Wickets_grouped,run_diff,ball_diff,wickets_diff,AveforWicket,AveWicket,Home,HomeorAway,Period
A Athanaze,WI,Spin,2023-07-12,Roseau,West Indies,2023,1,53,96,1,1,411,1014,20,358,918,19,20.55,<=30,WI,Home,After 1965
A Athanaze,WI,Spin,2023-07-20,Port of Spain,West Indies,2023,1,12,24,0,1,279,750,9,267,726,9,31.0,>30,WI,Home,After 1965
A Athanaze,WI,Spin,2024-08-07,Port of Spain,West Indies,2024,1,5,6,0,1,492,926,15,487,920,15,32.8,>30,WI,Home,After 1965
A Athanaze,WI,Spin,2024-11-22,North Sound,West Indies,2024,1,9,30,0,1,296,631,6,287,601,6,49.333333333333336,>30,WI,Home,After 1965
A Balbirnie,IRE,Spin,2019-03-15,Dehradun,India,2019,1,8,6,0,1,656,1295,22,648,1289,22,29.818181818181817,<=30,IND,Away,After 1965
A Brown,ENG,Pace,1961-10-21,Lahore,Pakistan,1961,2,71,179,3,1,400,1080,13,329,901,10,30.76923076923077,>30,PAK,Away,Upto 2014
A Brown,ENG,Pace,1961-11-11,Brabourne,India,1961,2,79,144,0,1,444,942,9,365,798,9,49.333333333333336,>30,IND,Away,Upto 2014
A Coningham,AUS,Pace,1894-12-29,Melbourne,Australia,1894,2,76,186,2,1,653,1784,28,577,1598,26,23.321428571428573,<=30,AUS,Home,After 1965
A Cotter,AUS,Pace,1904-02-26,Sydney,Australia,1904,2,85,195,3,1,327,845,17,242,650,14,19.235294117647058,<=30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1904-03-05,Melbourne,Australia,1904,2,65,122,8,1,250,529,16,185,407,8,15.625,<=30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1905-05-29,Nottingham,England,1905,2,123,240,4,1,577,1196,21,454,956,17,27.476190476190474,<=30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1905-07-24,Manchester,England,1905,1,83,156,0,1,572,1050,20,489,894,20,28.6,<=30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1905-08-14,The Oval,England,1905,2,221,366,9,1,775,1333,24,554,967,15,32.291666666666664,>30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1907-12-13,Sydney,Australia,1907,2,202,287,8,1,509,946,20,307,659,12,25.45,<=30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1908-01-01,Melbourne,Australia,1908,2,224,366,6,1,477,963,14,253,597,8,34.07142857142857,>30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1909-06-14,Lord's,England,1909,2,115,246,4,1,465,1001,12,350,755,8,38.75,>30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1909-07-01,Leeds,England,1909,2,83,198,6,1,393,1142,20,310,944,14,19.65,<=30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1909-07-26,Manchester,England,1909,2,51,78,1,1,310,803,19,259,725,18,16.31578947368421,<=30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1909-08-09,The Oval,England,1909,2,116,214,6,1,457,871,15,341,657,9,30.466666666666665,>30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1910-12-09,Sydney,Australia,1910,2,142,222,8,1,517,899,22,375,677,14,23.5,<=30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1910-12-31,Melbourne,Australia,1910,2,205,348,6,1,540,1002,17,335,654,11,31.764705882352942,>30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1911-01-07,Adelaide,Australia,1911,2,164,366,2,1,771,1501,18,607,1135,16,42.833333333333336,>30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1911-02-17,Melbourne,Australia,1911,2,38,77,4,1,399,623,10,361,546,6,39.9,>30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1911-03-03,Sydney,Australia,1911,2,84,156,2,1,447,806,13,363,650,11,34.38461538461539,>30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1911-12-15,Sydney,Australia,1911,2,159,276,3,1,824,1814,23,665,1538,20,35.82608695652174,>30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1911-12-30,Melbourne,Australia,1911,2,118,210,5,1,685,1483,24,567,1273,19,28.541666666666668,<=30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1912-01-12,Adelaide,Australia,1912,2,146,288,4,1,730,1756,27,584,1468,23,27.037037037037038,<=30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1912-02-09,Melbourne,Australia,1912,1,125,222,0,1,546,1146,23,421,924,23,23.73913043478261,<=30,AUS,Home,Upto 2014
A Coxon,ENG,Pace,1948-06-24,Lord's,England,1948,2,172,378,3,1,703,1601,26,531,1223,23,27.03846153846154,<=30,ENG,Home,Upto 2014
A D'Souza,PAK,Spin,1959-02-20,Karachi,Pakistan,1959,2,78,162,2,1,375,1262,15,297,1100,13,25.0,<=30,PAK,Home,Upto 2014
A D'Souza,PAK,Spin,1962-01-19,Dhaka,Bangladesh,1962,1,94,276,4,1,862,2494,25,768,2218,21,34.48,>30,BAN,Away,Upto 2014
A D'Souza,PAK,Spin,1962-02-02,Karachi,Pakistan,1962,1,112,347,5,1,769,2063,17,657,1716,12,45.23529411764706,>30,PAK,Home,Upto 2014
A D'Souza,PAK,Spin,1962-05-31,Birmingham,England,1962,1,161,276,1,1,664,1386,13,503,1110,12,51.07692307692308,>30,ENG,Away,Upto 2014
A D'Souza,PAK,Spin,1962-06-21,Lord's,England,1962,2,176,256,3,1,359,496,6,183,240,3,59.833333333333336,>30,ENG,Away,Upto 2014
A D'Souza,PAK,Spin,1962-08-16,The Oval,England,1962,2,124,270,2,1,452,1071,6,328,801,4,75.33333333333333,>30,ENG,Away,Upto 2014
A Dananjaya,SL,Spin,2018-02-08,Mirpur,Bangladesh,2018,2,44,90,8,1,561,1029,30,517,939,22,18.7,<=30,BAN,Away,After 1965
A Dananjaya,SL,Spin,2018-06-14,Gros Islet,West Indies,2018,2,114,264,2,1,246,492,2,132,228,0,123.0,>30,WI,Away,After 1965
A Dananjaya,SL,Spin,2018-07-20,Colombo (SSC),Sri Lanka,2018,2,119,192,7,1,722,1323,32,603,1131,25,22.5625,<=30,SL,Home,After 1965
A Dananjaya,SL,Spin,2018-11-06,Galle,Sri Lanka,2018,2,183,233,2,1,876,1627,28,693,1394,26,31.285714285714285,>30,SL,Home,After 1965
A Dananjaya,SL,Spin,2018-11-14,Pallekele,Sri Lanka,2018,2,195,234,8,1,1031,1760,38,836,1526,30,27.13157894736842,<=30,SL,Home,After 1965
A Dananjaya,SL,Spin,2019-08-14,Galle,Sri Lanka,2019,2,164,372,6,1,786,1622,23,622,1250,17,34.17391304347826,>30,SL,Home,After 1965
A Fielder,ENG,Pace,1904-01-15,Adelaide,Australia,1904,2,84,192,1,1,683,1465,19,599,1273,18,35.94736842105263,>30,AUS,Away,Upto 2014
A Fielder,ENG,Pace,1907-12-13,Sydney,Australia,1907,2,170,347,9,1,509,946,20,339,599,11,25.45,<=30,AUS,Away,Upto 2014
A Fielder,ENG,Pace,1908-01-01,Melbourne,Australia,1908,2,151,329,3,1,477,963,14,326,634,11,34.07142857142857,>30,AUS,Away,Upto 2014
A Fielder,ENG,Pace,1908-01-10,Adelaide,Australia,1908,2,161,305,5,1,493,1139,20,332,834,15,24.65,<=30,AUS,Away,Upto 2014
A Fielder,ENG,Pace,1908-02-07,Melbourne,Australia,1908,2,145,318,8,1,373,840,14,228,522,6,26.642857142857142,<=30,AUS,Away,Upto 2014
A Flintoff,ENG,Pace,1998-07-23,Nottingham,England,1998,2,68,138,1,1,995,2152,32,927,2014,31,31.09375,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,1998-08-06,Leeds,England,1998,2,44,72,0,1,826,2084,40,782,2012,40,20.65,<=30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,1999-11-25,Johannesburg,South Africa,1999,1,45,84,0,1,668,1442,28,623,1358,28,23.857142857142858,<=30,SA,Away,Upto 2014
A Flintoff,ENG,Pace,1999-12-09,Gqeberha,South Africa,1999,2,55,95,3,1,939,2119,25,884,2024,22,37.56,>30,SA,Away,Upto 2014
A Flintoff,ENG,Pace,1999-12-26,Durban,South Africa,1999,2,74,198,2,1,784,1865,22,710,1667,20,35.63636363636363,>30,SA,Away,Upto 2014
A Flintoff,ENG,Pace,2000-01-02,Cape Town,South Africa,2000,1,16,24,0,1,594,1440,24,578,1416,24,24.75,<=30,SA,Away,Upto 2014
A Flintoff,ENG,Pace,2000-05-18,Lord's,England,2000,1,2,18,0,1,527,1078,29,525,1060,29,18.17241379310345,<=30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2000-06-01,Nottingham,England,2000,1,33,60,0,1,655,1521,23,622,1461,23,28.47826086956522,<=30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2000-06-15,Birmingham,England,2000,1,48,138,1,1,606,1373,25,558,1235,24,24.24,<=30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2001-12-03,Mohali,India,2001,1,80,204,0,1,398,794,9,318,590,9,44.22222222222222,>30,IND,Away,Upto 2014
A Flintoff,ENG,Pace,2001-12-11,Ahmedabad,India,2001,2,59,180,2,1,368,804,6,309,624,4,61.333333333333336,>30,IND,Away,Upto 2014
A Flintoff,ENG,Pace,2001-12-19,Bengaluru,India,2001,1,50,168,4,1,273,609,12,223,441,8,22.75,<=30,IND,Away,Upto 2014
A Flintoff,ENG,Pace,2002-03-13,Christchurch,New Zealand,2002,2,123,168,2,1,1052,1583,35,929,1415,33,30.057142857142857,>30,NZ,Away,Upto 2014
A Flintoff,ENG,Pace,2002-03-21,Wellington,New Zealand,2002,2,33,156,1,1,587,1212,18,554,1056,17,32.611111111111114,>30,NZ,Away,Upto 2014
A Flintoff,ENG,Pace,2002-03-30,Auckland,New Zealand,2002,2,157,234,6,1,809,1459,39,652,1225,33,20.743589743589745,<=30,NZ,Away,Upto 2014
A Flintoff,ENG,Pace,2002-05-16,Lord's,England,2002,2,119,264,2,1,1188,2251,20,1069,1987,18,59.4,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2002-05-30,Birmingham,England,2002,2,50,66,2,1,687,1192,22,637,1126,20,31.227272727272727,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2002-06-13,Manchester,England,2002,2,143,312,2,1,775,1409,20,632,1097,18,38.75,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2002-07-25,Lord's,England,2002,2,109,216,2,1,837,1449,22,728,1233,20,38.04545454545455,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2002-08-08,Nottingham,England,2002,2,180,294,2,1,996,1602,22,816,1308,20,45.27272727272727,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2002-08-22,Leeds,England,2002,1,68,162,1,1,769,1387,15,701,1225,14,51.266666666666666,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2003-07-24,Birmingham,England,2003,2,113,162,0,1,873,1408,14,760,1246,14,62.357142857142854,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2003-07-31,Lord's,England,2003,1,115,240,1,1,967,1600,24,852,1360,23,40.291666666666664,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2003-08-14,Nottingham,England,2003,2,145,300,3,1,935,1991,38,790,1691,35,24.605263157894736,<=30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2003-08-21,Leeds,England,2003,2,118,240,4,1,1130,2145,39,1012,1905,35,28.974358974358974,<=30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2003-09-04,The Oval,England,2003,2,101,150,2,1,1075,1870,24,974,1720,22,44.791666666666664,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2003-12-02,Galle,Sri Lanka,2003,2,74,240,4,1,348,780,10,274,540,6,34.8,>30,SL,Away,Upto 2014
A Flintoff,ENG,Pace,2003-12-10,Kandy,Sri Lanka,2003,2,100,234,3,1,489,1010,13,389,776,10,37.61538461538461,>30,SL,Away,Upto 2014
A Flintoff,ENG,Pace,2003-12-18,Colombo (SSC),Sri Lanka,2003,1,47,108,2,1,444,738,12,397,630,10,37.0,>30,SL,Away,Upto 2014
A Flintoff,ENG,Pace,2004-03-11,Kingston,West Indies,2004,1,45,96,1,1,561,1123,25,516,1027,24,22.44,<=30,WI,Away,Upto 2014
A Flintoff,ENG,Pace,2004-03-19,Port of Spain,West Indies,2004,2,65,132,2,1,720,1489,29,655,1357,27,24.82758620689655,<=30,WI,Away,Upto 2014
A Flintoff,ENG,Pace,2004-04-01,Bridgetown,West Indies,2004,2,78,176,7,1,550,1209,31,472,1033,24,17.741935483870968,<=30,WI,Away,Upto 2014
A Flintoff,ENG,Pace,2004-04-10,St John's,West Indies,2004,1,109,210,1,1,955,1635,13,846,1425,12,73.46153846153847,>30,WI,Away,Upto 2014
A Flintoff,ENG,Pace,2004-05-20,Lord's,England,2004,2,103,227,3,1,1118,2072,26,1015,1845,23,43.0,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2004-06-03,Leeds,England,2004,2,80,198,3,1,915,1695,27,835,1497,24,33.888888888888886,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2004-06-10,Nottingham,England,2004,2,108,204,4,1,1015,1836,30,907,1632,26,33.833333333333336,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2004-07-22,Lord's,England,2004,2,25,69,4,1,966,1493,22,941,1424,18,43.90909090909091,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2004-07-29,Birmingham,England,2004,2,71,120,2,1,971,1389,23,900,1269,21,42.21739130434783,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2004-08-12,Manchester,England,2004,2,105,192,6,1,785,1467,28,680,1275,22,28.035714285714285,<=30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2004-08-19,The Oval,England,2004,2,96,150,2,1,794,1252,26,698,1102,24,30.53846153846154,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2004-12-17,Gqeberha,South Africa,2004,2,119,222,5,1,915,1720,27,796,1498,22,33.888888888888886,>30,SA,Away,Upto 2014
A Flintoff,ENG,Pace,2004-12-26,Durban,South Africa,2004,2,104,222,3,1,968,1978,29,864,1756,26,33.37931034482759,>30,SA,Away,Upto 2014
A Flintoff,ENG,Pace,2005-01-02,Cape Town,South Africa,2005,2,125,295,6,1,830,1832,29,705,1537,23,28.620689655172413,<=30,SA,Away,Upto 2014
A Flintoff,ENG,Pace,2005-01-13,Johannesburg,South Africa,2005,2,136,277,3,1,1212,2062,34,1076,1785,31,35.64705882352941,>30,SA,Away,Upto 2014
A Flintoff,ENG,Pace,2005-01-21,Centurion,South Africa,2005,2,90,192,6,1,788,1589,28,698,1397,22,28.142857142857142,<=30,SA,Away,Upto 2014
A Flintoff,ENG,Pace,2005-05-26,Lord's,England,2005,2,66,89,5,1,522,823,21,456,734,16,24.857142857142858,<=30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2005-06-03,Chester-le-Street,England,2005,2,72,132,4,1,697,946,22,625,814,18,31.681818181818183,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2005-07-21,Lord's,England,2005,2,173,228,4,1,726,1256,32,553,1028,28,22.6875,<=30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2005-08-04,Birmingham,England,2005,2,131,222,7,1,817,1095,24,686,873,17,34.041666666666664,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2005-08-11,Manchester,England,2005,2,136,270,5,1,929,1432,27,793,1162,22,34.407407407407405,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2005-08-25,Nottingham,England,2005,2,137,240,3,1,944,1543,26,807,1303,23,36.30769230769231,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2005-09-08,The Oval,England,2005,1,78,204,5,1,707,1205,18,629,1001,13,39.27777777777778,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2005-11-12,Multan,Pakistan,2005,2,156,288,8,1,730,1407,32,574,1119,24,22.8125,<=30,PAK,Away,Upto 2014
A Flintoff,ENG,Pace,2005-11-20,Faisalabad,Pakistan,2005,2,142,337,4,1,802,1439,26,660,1102,22,30.846153846153847,>30,PAK,Away,Upto 2014
A Flintoff,ENG,Pace,2005-11-29,Lahore,Pakistan,2005,1,111,216,1,1,870,1496,17,759,1280,16,51.1764705882353,>30,PAK,Away,Upto 2014
A Flintoff,ENG,Pace,2006-03-01,Nagpur,India,2006,2,147,276,3,1,629,1284,22,482,1008,19,28.59090909090909,<=30,IND,Away,Upto 2014
A Flintoff,ENG,Pace,2006-03-09,Mohali,India,2006,2,107,162,4,1,422,800,12,315,638,8,35.166666666666664,>30,IND,Away,Upto 2014
A Flintoff,ENG,Pace,2006-03-18,Wankhede,India,2006,2,82,192,4,1,416,973,19,334,781,15,21.894736842105264,<=30,IND,Away,Upto 2014
A Flintoff,ENG,Pace,2006-05-11,Lord's,England,2006,2,186,411,4,1,982,1899,19,796,1488,15,51.68421052631579,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2006-05-25,Birmingham,England,2006,2,78,194,4,1,504,1093,20,426,899,16,25.2,<=30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2006-06-02,Nottingham,England,2006,2,90,168,4,1,634,1203,19,544,1035,15,33.36842105263158,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2006-11-23,Brisbane,Australia,2006,2,110,210,4,1,985,1659,24,875,1449,20,41.041666666666664,>30,AUS,Away,Upto 2014
A Flintoff,ENG,Pace,2006-12-01,Adelaide,Australia,2006,2,126,210,3,1,876,1646,21,750,1436,18,41.714285714285715,>30,AUS,Away,Upto 2014
A Flintoff,ENG,Pace,2006-12-14,W.A.C.A,Australia,2006,2,112,168,0,1,846,1471,19,734,1303,19,44.526315789473685,>30,AUS,Away,Upto 2014
A Flintoff,ENG,Pace,2006-12-26,Melbourne,Australia,2006,1,77,132,3,1,551,1154,23,474,1022,20,23.956521739130434,<=30,AUS,Away,Upto 2014
A Flintoff,ENG,Pace,2007-01-02,Sydney,Australia,2007,1,56,102,1,1,646,1259,24,590,1157,23,26.916666666666668,<=30,AUS,Away,Upto 2014
A Flintoff,ENG,Pace,2008-07-18,Leeds,England,2008,1,77,240,1,1,905,1732,27,828,1492,26,33.51851851851852,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2008-07-30,Birmingham,England,2008,2,161,300,6,1,903,1618,29,742,1318,23,31.137931034482758,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2008-08-07,The Oval,England,2008,2,90,198,2,1,862,1540,26,772,1342,24,33.15384615384615,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2008-12-11,Chennai,India,2008,2,113,244,4,1,452,1045,16,339,801,12,28.25,<=30,IND,Away,Upto 2014
A Flintoff,ENG,Pace,2008-12-19,Mohali,India,2008,2,93,260,3,1,522,1070,12,429,810,9,43.5,>30,IND,Away,Upto 2014
A Flintoff,ENG,Pace,2009-02-04,Kingston,West Indies,2009,1,72,198,2,1,444,1066,20,372,868,18,22.2,<=30,WI,Away,Upto 2014
A Flintoff,ENG,Pace,2009-02-15,St John's,West Indies,2009,2,79,176,3,1,803,1574,19,724,1398,16,42.26315789473684,>30,WI,Away,Upto 2014
A Flintoff,ENG,Pace,2009-07-08,Cardiff,England,2009,1,128,210,1,1,832,1434,18,704,1224,17,46.22222222222222,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2009-07-16,Lord's,England,2009,2,119,234,6,1,1009,1590,27,890,1356,21,37.370370370370374,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2009-07-30,Birmingham,England,2009,2,93,180,0,1,806,1353,22,713,1173,22,36.63636363636363,>30,ENG,Home,Upto 2014
A Flintoff,ENG,Pace,2009-08-20,The Oval,England,2009,2,77,149,1,1,842,1408,23,765,1259,22,36.608695652173914,>30,ENG,Home,Upto 2014
A Flintoff,ICC,Pace,2005-10-14,Sydney,Australia,2005,2,107,204,7,1,422,699,17,315,495,10,24.823529411764707,<=30,AUS,Away,Upto 2014
A Flower,ZIM,Spin,1993-12-16,Lahore,Pakistan,1993,1,0,1,0,1,31,97,0,31,96,0,inf,>30,PAK,Away,Upto 2014
A Flower,ZIM,Spin,2002-11-16,Bulawayo,Zimbabwe,2002,1,4,2,0,1,335,808,14,331,806,14,23.928571428571427,<=30,ZIM,Home,Upto 2014
A Gandotra,IND,Spin,1969-11-15,Kanpur,India,1969,1,5,6,0,1,657,2057,13,652,2051,13,50.53846153846154,>30,IND,Home,Upto 2014
A Hill,ENG,Pace,1877-03-15,Melbourne,Australia,1877,2,60,148,2,1,194,465,7,134,317,5,27.714285714285715,<=30,AUS,Away,After 1965
A Hill,ENG,Pace,1877-03-31,Melbourne,Australia,1877,2,70,192,5,1,269,577,12,199,385,7,22.416666666666668,<=30,AUS,Away,After 1965
A Hurwood,AUS,Spin,1930-12-12,Adelaide,Australia,1930,2,141,421,7,1,578,1434,23,437,1013,16,25.130434782608695,<=30,AUS,Home,Upto 2014
A Hurwood,AUS,Spin,1931-01-01,Sydney,Australia,1931,2,29,96,4,1,251,536,17,222,440,13,14.764705882352942,<=30,AUS,Home,Upto 2014
A Khan,ENG,Pace,2009-03-06,Port of Spain,West Indies,2009,2,122,174,1,1,770,1390,15,648,1216,14,51.333333333333336,>30,WI,Away,Upto 2014
A Kumble,IND,Spin,1990-08-09,Manchester,England,1990,2,170,360,3,1,724,1465,14,554,1105,11,51.714285714285715,>30,ENG,Away,Upto 2014
A Kumble,IND,Spin,1992-10-18,Harare,Zimbabwe,1992,2,94,266,3,1,383,1070,9,289,804,6,42.55555555555556,>30,ZIM,Away,Upto 2014
A Kumble,IND,Spin,1992-11-13,Durban,South Africa,1992,2,87,264,3,1,210,547,7,123,283,4,30.0,<=30,SA,Away,Upto 2014
A Kumble,IND,Spin,1992-11-26,Johannesburg,South Africa,1992,2,113,420,8,1,138,480,8,25,60,0,17.25,<=30,SA,Away,Upto 2014
A Kumble,IND,Spin,1992-12-26,Gqeberha,South Africa,1992,2,146,423,3,1,329,957,7,183,534,4,47.0,>30,SA,Away,Upto 2014
A Kumble,IND,Spin,1993-01-02,Cape Town,South Africa,1993,2,121,420,4,1,326,1020,6,205,600,2,54.333333333333336,>30,SA,Away,Upto 2014
A Kumble,IND,Spin,1993-01-29,Eden Gardens,India,1993,2,126,414,6,1,470,1482,23,344,1068,17,20.434782608695652,<=30,IND,Home,Upto 2014
A Kumble,IND,Spin,1993-02-11,Chennai,India,1993,2,125,276,8,1,792,1720,20,667,1444,12,39.6,>30,IND,Home,Upto 2014
A Kumble,IND,Spin,1993-02-19,Wankhede,India,1993,2,165,396,7,1,804,1796,20,639,1400,13,40.2,>30,IND,Home,Upto 2014
A Kumble,IND,Spin,1993-03-13,Delhi,India,1993,2,160,491,8,1,645,1548,21,485,1057,13,30.714285714285715,>30,IND,Home,Upto 2014
A Kumble,IND,Spin,1993-07-27,Colombo (SSC),Sri Lanka,1993,2,172,373,8,1,544,1136,16,372,763,8,34.0,>30,SL,Away,Upto 2014
A Kumble,IND,Spin,1993-08-04,Colombo (PSS),Sri Lanka,1993,2,203,470,5,1,715,1623,16,512,1153,11,44.6875,>30,SL,Away,Upto 2014
A Kumble,IND,Spin,1994-01-18,Lucknow,India,1994,2,128,387,11,1,633,1538,23,505,1151,12,27.52173913043478,<=30,IND,Home,Upto 2014
A Kumble,IND,Spin,1994-01-26,Bengaluru,India,1994,2,114,174,6,1,625,1188,15,511,1014,9,41.666666666666664,>30,IND,Home,Upto 2014
A Kumble,IND,Spin,1994-02-08,Ahmedabad,India,1994,2,75,258,1,1,473,1433,26,398,1175,25,18.192307692307693,<=30,IND,Home,Upto 2014
A Kumble,IND,Spin,1994-03-19,Hamilton,New Zealand,1994,2,102,300,2,1,491,1160,14,389,860,12,35.07142857142857,>30,NZ,Away,Upto 2014
A Kumble,IND,Spin,1994-11-18,Wankhede,India,1994,2,87,215,3,1,528,1096,17,441,881,14,31.058823529411764,>30,IND,Home,Upto 2014
A Kumble,IND,Spin,1994-12-01,Nagpur,India,1994,2,176,444,6,1,761,1735,22,585,1291,16,34.59090909090909,>30,IND,Home,Upto 2014
A Kumble,IND,Spin,1994-12-10,Mohali,India,1994,2,146,216,4,1,470,841,10,324,625,6,47.0,>30,IND,Home,Upto 2014
A Kumble,IND,Spin,1995-10-18,Bengaluru,India,1995,2,120,272,9,1,388,811,15,268,539,6,25.866666666666667,<=30,IND,Home,Upto 2014
A Kumble,IND,Spin,1995-11-08,Cuttack,India,1995,1,32,162,1,1,195,570,8,163,408,7,24.375,<=30,IND,Home,Upto 2014
A Kumble,IND,Spin,1996-06-06,Birmingham,England,1996,2,86,174,1,1,130,258,1,44,84,0,130.0,>30,ENG,Away,Upto 2014
A Kumble,IND,Spin,1996-06-20,Lord's,England,1996,2,150,474,3,1,159,498,3,9,24,0,53.0,>30,ENG,Away,Upto 2014
A Kumble,IND,Spin,1996-07-04,Nottingham,England,1996,1,98,234,1,1,381,828,3,283,594,2,127.0,>30,ENG,Away,Upto 2014
A Kumble,IND,Spin,1996-10-10,Delhi,India,1996,2,130,390,9,1,528,1278,19,398,888,10,27.789473684210527,<=30,IND,Home,Upto 2014
A Kumble,IND,Spin,1996-11-20,Ahmedabad,India,1996,2,110,258,5,1,390,956,20,280,698,15,19.5,<=30,IND,Home,Upto 2014
A Kumble,IND,Spin,1996-11-27,Eden Gardens,India,1996,2,179,313,3,1,508,781,6,329,468,3,84.66666666666667,>30,IND,Home,Upto 2014
A Kumble,IND,Spin,1996-12-08,Kanpur,India,1996,2,98,306,5,1,503,1168,19,405,862,14,26.473684210526315,<=30,IND,Home,Upto 2014
A Kumble,IND,Spin,1996-12-26,Durban,South Africa,1996,2,87,188,2,1,87,204,2,0,16,0,43.5,>30,SA,Away,Upto 2014
A Kumble,IND,Spin,1997-01-02,Cape Town,South Africa,1997,2,194,456,2,1,351,752,7,157,296,5,50.142857142857146,>30,SA,Away,Upto 2014
A Kumble,IND,Spin,1997-01-16,Johannesburg,South Africa,1997,2,103,288,4,1,289,570,8,186,282,4,36.125,>30,SA,Away,Upto 2014
A Kumble,IND,Spin,1997-03-06,Kingston,West Indies,1997,2,196,394,8,1,464,982,9,268,588,1,51.55555555555556,>30,WI,Away,Upto 2014
A Kumble,IND,Spin,1997-03-14,Port of Spain,West Indies,1997,2,213,474,7,1,443,1095,13,230,621,6,34.07692307692308,>30,WI,Away,Upto 2014
A Kumble,IND,Spin,1997-03-27,Bridgetown,West Indies,1997,1,44,96,1,1,72,144,1,28,48,0,72.0,>30,WI,Away,Upto 2014
A Kumble,IND,Spin,1997-04-04,St John's,West Indies,1997,1,93,216,2,1,268,532,5,175,316,3,53.6,>30,WI,Away,Upto 2014
A Kumble,IND,Spin,1997-04-17,Georgetown,West Indies,1997,1,30,24,1,1,131,336,6,101,312,5,21.833333333333332,<=30,WI,Away,Upto 2014
A Kumble,IND,Spin,1997-08-02,Colombo (RPS),Sri Lanka,1997,1,223,432,1,1,1044,2082,8,821,1650,7,130.5,>30,SL,Away,Upto 2014
A Kumble,IND,Spin,1997-08-09,Colombo (SSC),Sri Lanka,1997,2,207,382,4,1,450,1036,11,243,654,7,40.90909090909091,>30,SL,Away,Upto 2014
A Kumble,IND,Spin,1997-11-19,Mohali,India,1997,2,147,318,2,1,502,1356,8,355,1038,6,62.75,>30,IND,Home,Upto 2014
A Kumble,IND,Spin,1997-12-03,Wankhede,India,1997,2,132,414,4,1,533,1312,21,401,898,17,25.38095238095238,<=30,IND,Home,Upto 2014
