Batter,Inns,Runs,Balls,Outs,Fifties,Centuries,Expected Runs,Expected Outs,Expected Fifties,Expected Centuries,Expected Runs 2,Expected Outs 2,Expected Fifties 2,Expected Centuries 2,Ave,SR,InnsPerCentury,expected_ave,expected_sr,expinnsPerCentury,Ave Ratio,SR Ratio,Cen Ratio,expected_ave_present,expected_sr_present,Adjusted Ave,Adjusted Sr,Present Centuries
AA Mulla,24,482,595,24,1,0,475.5676257106504,16.316201213808714,3.6878490991456037,0.7053936534665264,510.74243407451297,17.19004233189322,3.6304239116026444,0.9294245164201493,20.083333333333332,81.00840336134453,inf,29.146957645273975,79.92733205221015,34.02355533262377,0.6890370369955143,1.013525677404423,0.0,29.711528582272113,85.83906455033832,20.47234361893631,87.00009604614364,0.0
AA Obanda,45,1306,1764,43,9,0,1383.0792262874388,41.49082656302852,8.39689546581862,2.2593343117359748,1471.2307990889628,40.157143783749525,8.688139504155458,3.190694289497772,30.372093023255815,74.03628117913831,inf,33.33457876975311,78.40585183035368,19.917371132837772,0.9111287481098944,0.9442698402069557,0.0,36.63683869081169,83.40310652431762,33.3808769710634,78.7550380704811,0.0
AA Paradkar,5,51,80,4,0,0,66.03201180698207,3.1380420731695815,0.26446469489257346,0.051001568541256634,67.52771220329092,3.270322461940096,0.2856776340972884,0.031111235582801613,12.75,63.74999999999999,inf,21.04242399155802,82.54001475872758,98.03620051323237,0.6059187860255622,0.7723526605410405,0.0,20.648640306629144,84.40964025411365,12.511399067671222,65.19401022557679,0.0
AA Shafique,1,13,33,1,0,0,27.928187919463088,0.751006711409396,0.2064676616915423,0.07462686567164178,27.127386342858987,0.6949460619292944,0.20926966292134833,0.07818352059925093,13.0,39.39393939393939,inf,37.187667560321714,84.63087248322148,13.4,0.3495782567947517,0.465479537644486,0.0,39.035240040858014,82.20420103896663,13.645871167047837,38.26437349205256,0.0
AAP Atkinson,8,104,76,6,0,0,60.356798002739666,4.684813620512668,0.08109161793372319,0.0,58.214834864068834,4.251877091655258,0.10024769695828738,0.003757044458359424,17.333333333333332,136.8421052631579,inf,12.883500367755229,79.41683947728903,inf,1.3453900600426207,1.7230867680435817,,13.691561070361459,76.59846692640636,18.42049017053081,131.98580481331473,
AAW Gunawardena,1,2,10,1,0,0,6.455834810720617,0.19397225988111377,0.20256410256410257,0.041025641025641026,8.527519021545901,0.24467278200478798,0.182260305697082,0.07040296433534043,2.0,20.0,inf,33.28225806451613,64.55834810720617,24.375,0.060092076568936274,0.30979727001049995,0.0,34.85274884960039,85.275190215459,2.0943740525080923,26.418021128375297,0.0
AB Agarkar,113,1269,1574,87,3,0,1165.4358189512113,66.05422433293595,4.060423050336884,0.1349441326063998,1303.7622490140511,69.47857107709768,5.126162111765884,0.5097991289989741,14.586206896551724,80.62261753494282,inf,17.643622807180584,74.04293640096641,837.3835736126026,0.8267126913762544,1.0888630496546667,0.0,18.764954845823134,82.83114669720783,15.513226324144329,90.1917749991148,0.0
AB Barath,14,394,612,13,1,1,494.37646533259544,14.81433083479042,2.5759017586185062,0.770233545139853,521.8841641186091,14.973974258693024,2.551644279759148,0.9856415006947661,30.307692307692307,64.37908496732027,14.0,33.37150161191128,80.78046819160056,18.17630521072409,0.9081908467934986,0.7969635037843753,1.298307515051721,34.85274884960038,85.27519021545899,31.652947490799704,67.96121437999128,1.2796657674988707
AB Dinda,5,21,36,5,0,0,26.60979697145969,2.4396436390519547,0.018753713606654784,0.0,26.732878367006755,2.1850536800928504,0.02284231388932457,0.0,4.2,58.333333333333336,inf,10.907247495294131,73.91610269849915,inf,0.38506506814043284,0.7891830224230394,,12.234426371562087,74.25799546390766,4.711050224424664,58.603149299283,
AB de Villiers,218,9577,9473,179,53,25,7425.68374853112,216.6095424705931,41.18008100774835,8.700343070976807,7847.6103503776985,221.8648272605541,41.772744933585706,10.482552261028419,53.502793296089386,101.09785706745487,8.72,34.28142483399239,78.38787869240072,25.056483200900335,1.560693394605865,1.2897128835973433,2.87344990836013,35.37113316822231,82.84187005571306,55.20349389536898,106.8422271121501,30.121088833832385
AC Agar,18,322,388,13,0,0,318.8211736802131,16.712270762581483,1.0839379793957178,0.04886293043054856,325.6975298165267,16.502555822477653,0.9349072993363059,0.08124132169824794,24.76923076923077,82.9896907216495,inf,19.077070866638234,82.17040558768379,368.37741497277455,1.2983770381933697,1.009970562127644,0.0,19.736187128838765,83.94266232384709,25.62501218957178,84.77961785370685,0.0
AC Bedade,10,158,183,7,1,0,134.53521295669174,5.368776073324489,0.9261853076480736,0.03740655549166187,157.6329914897813,5.413459582712167,1.3028335203036574,0.18552868489853513,22.571428571428573,86.33879781420765,inf,25.058823672149163,73.51650981239986,267.33282090699464,0.9007377547620031,1.1744137205986496,0.0,29.118715874998085,86.13824671572749,26.22832675879847,101.16193881126193,0.0
AC Botha,38,666,970,34,2,0,750.9747753647976,22.72122500057183,6.45107150582189,1.206360827215882,807.1445721169952,23.584989692574904,6.501180973535823,1.6164199777021666,19.58823529411765,68.65979381443299,inf,33.05168516864287,77.4200799345152,31.499696560687298,0.5926546617569018,0.8868473640495852,0.0,34.22280792308774,83.21078063061805,20.282306654028986,73.79526146277189,0.0
AC Cummins,49,486,586,36,0,0,402.33587346159527,30.934021306517664,0.559853264220608,0.009615384615384616,469.62847912911707,28.97809225379943,1.4679157288970297,0.1071506779304381,13.5,82.93515358361775,inf,13.006258367605923,68.65799888423128,5096.0,1.0379618502446342,1.207945977619594,0.0,16.206328388216868,80.1413786909756,16.82155059950572,96.80645603065261,0.0
AC Dale,12,78,136,4,0,0,84.01048736184683,8.703543652444054,0.013471971066907775,0.0,93.79948049121523,8.851231981676504,0.047708919276624843,0.0,19.5,57.35294117647059,inf,9.652446258284202,61.77241717782855,inf,2.0202132680370166,0.9284555113225486,,10.597336131896157,68.97020624354062,21.40887905950469,64.03576810386814,
AC Dawson,7,69,67,3,0,0,44.32621944631444,3.978858509260923,0.01859245815688647,0.0,47.30238372159694,4.35481776484989,0.027825702593643503,0.0,23.0,102.98507462686568,inf,11.140436218866219,66.15853648703649,inf,2.0645511134518886,1.5566407616505424,,10.862081096343523,70.6005727188014,22.425321621860732,109.89972928995952,
AC Evans,19,100,157,11,0,0,108.8330565924267,10.546290539818205,0.049949005609382965,0.0,108.35894463330709,10.421951014210448,0.05180784040687067,0.0,9.090909090909092,63.69426751592356,inf,10.319557969839767,69.32041821173675,inf,0.8809397764398863,0.918838477306523,,10.397184220647214,69.01843607217012,9.15929314294127,63.41679470663039,
AC Gilchrist,279,9619,9922,268,55,16,7285.537206306236,231.9880378525489,45.82756933547557,13.63328471772773,8467.112644565379,246.6113768960153,49.221079311984695,18.523404995825352,35.89179104477612,96.94618020560371,17.4375,31.404796875504882,73.42811133144765,20.464620652806342,1.1428760767681005,1.3202869915582833,1.1735983170068154,34.33382819210151,85.33675311998971,39.23931086461898,112.66900504614316,21.73903692833627
AC Hudson,88,2559,3960,87,18,2,2615.230766687132,79.58792684905194,17.11349989349627,4.038935967692977,3376.8975325321767,96.89042167389604,16.038906901343214,6.195460861509958,29.413793103448278,64.62121212121212,44.0,32.85964178520734,66.04118097694777,21.787916595831856,0.8951343199574896,0.9784987361714307,0.4951799226325421,34.85274884960039,85.275190215459,31.19789164013622,83.44166585260498,3.067867830075444
AC Parore,161,3314,4867,129,14,1,3465.143135135551,134.65383889559283,16.072533092716316,2.2165633371951055,4106.940064400031,141.36701245522013,18.504030220008914,4.193839771232139,25.689922480620154,68.09122662831312,161.0,25.73371218790379,71.19669478396447,72.63496481166806,0.9982983524893769,0.9563818493951942,0.4511488497619134,29.051615317264755,84.38339972056772,29.002179708380552,80.70275188301048,1.8920459888771455
AC Valthapa,1,14,22,1,0,0,20.070509648688766,0.7592775853537852,0.07142857142857142,0.014285714285714285,19.189194709697187,0.7953837512127867,0.07384441939120631,0.007891770011273957,14.0,63.63636363636363,inf,26.433691756272403,91.22958931222166,70.0,0.5296271186440678,0.6975408320493066,0.0,24.125706214689263,87.2236123168054,12.777628267739154,60.84203110981059,0.0
AC Voges,28,870,998,19,4,1,823.5097788218284,26.380690952594176,4.197540539798117,0.5105278941050723,852.265413527014,27.671735765591702,4.061021882723936,0.5831344688939325,45.78947368421053,87.17434869739479,28.0,31.216383994705325,82.5160099019868,54.845191268309605,1.4668410566700159,1.0564537572883275,1.9587568310110572,30.799130952484724,85.39733602475089,45.177429790860884,90.21833650576191,1.1422186243439951
AC Waller,38,818,1172,35,4,0,854.2562827418175,29.15208630063474,5.988278646454587,1.0155924001745495,998.6683670270387,30.32989401749433,6.361025198073623,1.7729159804617254,23.37142857142857,69.7952218430034,inf,29.303435573433298,72.88876132609364,37.41658562378859,0.7975661595330915,0.9575580730580645,0.0,32.9268663600013,85.21061152107838,26.26135434820558,81.59410897222313,0.0
ACI Lock,3,8,20,1,0,0,10.72289156626506,1.4457831325301205,0.0,0.0,11.179245283018869,1.5212264150943398,0.003036437246963563,0.0,8.0,40.0,inf,7.416666666666667,53.6144578313253,inf,1.0786516853932584,0.7460674157303371,,7.348837209302325,55.89622641509434,7.926835641494643,41.70235319058724,
ACL Richards,1,2,2,1,0,0,1.6752869166029074,0.0703902065799541,0.06976744186046512,0.009966777408637873,1.7444722463361078,0.07230761374661697,0.07384441939120631,0.007891770011273957,2.0,100.0,inf,23.8,83.76434583014537,100.33333333333334,0.08403361344537814,1.1938253562294483,0.0,24.125706214689263,87.22361231680539,2.0273702701419545,104.12976004572948,0.0
AD Brown,16,354,427,16,1,1,319.8534570008544,9.449580283073155,3.0875434808513536,0.903458594346448,363.9292752712792,10.479462619850985,2.891963641036593,1.0325476883195166,22.125,82.90398126463701,16.0,33.84843002750096,74.90713278708535,17.709721397441818,0.6536492233768012,1.1067568358313988,1.1068575873401136,34.72785661565289,85.22933847102557,22.69983650636242,94.32815296619557,1.1428832431069518
AD Gaekwad,14,269,509,13,1,0,299.3146760786031,9.818374069951249,2.3570517911800684,0.6083165344248614,429.8434630248918,11.986906596163365,2.6866910658804795,1.0245442820143187,20.692307692307693,52.848722986247544,inf,30.485157109122987,58.80445502526583,23.014334162783246,0.6787666410325081,0.8987197137281631,0.0,35.85941540267539,84.44861749015556,24.340174942263356,75.89563733549174,0.0
AD Hales,67,2419,2527,64,14,6,2184.4294230348905,58.7438491217455,12.234337878280751,5.649400515138107,2140.2554383727806,60.203049751595884,12.589571482844223,4.825926398162556,37.796875,95.72615749901068,11.166666666666666,37.18567059689437,86.44358619053781,11.859665431839558,1.0164365572354819,1.1073829964436268,1.062059590911005,35.5506149140899,84.69550606936211,36.13494463088191,93.79036329639959,5.125421416199145
AD Mascarenhas,13,245,257,11,1,0,204.120238384843,10.523058908925407,0.8157690315023274,0.04555473473966456,218.64406279403647,10.55260195004585,0.9268308547679274,0.09552402058617124,22.272727272727273,95.3307392996109,inf,19.39742428047353,79.42421727036692,285.3709954473928,1.1482311749580163,1.2002729466643252,0.0,20.719445671224857,85.07551081480018,23.7907134475493,102.11383405465288,0.0
AD Mathews,195,5916,7136,147,40,3,6039.503244879547,196.70702799077787,28.939305102702434,4.12162938073423,6079.33874379442,199.1320574828377,28.20033001668812,4.0944793874055225,40.244897959183675,82.9035874439462,65.0,30.703037438818377,84.63429435089051,47.311386344315736,1.3107790406528756,0.9795507610689247,0.7278674822202421,30.529181592563877,85.19252723927158,40.017011359818305,83.45040489461358,2.980238402713537
AD Mullally,25,86,238,15,0,0,121.95162635453462,16.428874689513794,0.03296703296703297,0.0,136.53457179111263,17.835169827204272,0.0639676652388676,0.001878522229179712,5.733333333333333,36.134453781512605,inf,7.423005449811714,51.24017914056077,inf,0.7723735853486084,0.7051976473850624,,7.655355856654319,57.36746713912295,5.912794650123565,40.455402862949384,
AD Poynter,16,255,412,13,2,0,320.7097649012371,10.769932672540188,2.368332211996318,0.5428445916737668,344.3551889800722,10.912093845750972,2.39555168219347,0.5825053787034222,19.615384615384617,61.89320388349514,inf,29.778251605875152,77.84217594690222,29.47436567557353,0.658715121189807,0.7951114306685594,0.0,31.55720559662889,83.58135654856123,20.787208508995057,66.45649198254549,0.0
