Bowler,Team,BowlType,Start Date,Ground,Host Country,year,isWorldCup,isICC,Matches,Inn,Runs,Balls,Wickets,Matches_grouped,Inn_grouped,Runs_grouped,Balls_grouped,Wickets_grouped,run_diff,ball_diff,wickets_diff,inn_diff,matches_diff,AveforWicket,RunRate,AveWicket,AveRR,Home,HomeorAway,Period
A Nel,SA,Pace,14 Apr 2007,St George's,West Indies,2007,WorldCup,ICC,1,1,33,56,2,13,10,258,428,10,225,372,8,9,12,28.125,3.629032258064516,<=30,<6 rpo,WI,Away,Upto 2014
A Nel,SA,Pace,16 Mar 2007,Basseterre,West Indies,2007,WorldCup,ICC,1,1,19,36,0,17,12,391,408,8,372,372,8,11,16,46.5,6.0,>30,>=6 rpo,WI,Away,Upto 2014
A Nel,SA,Pace,17 Apr 2007,Bridgetown,West Indies,2007,WorldCup,ICC,1,1,35,60,3,15,10,275,392,11,240,332,8,9,14,30.0,4.337349397590361,<=30,<6 rpo,WI,Away,Upto 2014
A Nel,SA,Pace,25 Apr 2007,Gros Islet,West Indies,2007,WorldCup,ICC,1,1,31,42,1,15,10,269,392,12,238,350,11,9,14,21.636363636363637,4.08,<=30,<6 rpo,WI,Away,Upto 2014
A Nel,SA,Pace,7 Apr 2007,Providence,West Indies,2007,WorldCup,ICC,1,1,45,60,5,11,8,314,396,9,269,336,4,7,10,67.25,4.803571428571429,>30,<6 rpo,WI,Away,Upto 2014
A Patel,CAN,Pace,27 Feb 2003,East London,South Africa,2003,WorldCup,ICC,1,1,41,42,3,12,10,283,474,12,242,432,9,9,11,26.88888888888889,3.3611111111111116,<=30,<6 rpo,SA,Away,Upto 2014
A Patel,CAN,Pace,3 Mar 2003,Benoni,South Africa,2003,WorldCup,ICC,1,1,32,18,0,13,8,233,258,10,201,240,10,7,12,20.1,5.025,<=30,<6 rpo,SA,Away,Upto 2014
A Ranatunga,SL,Pace,11 Jun 1983,Taunton,England,1983,WorldCup,ICC,1,1,65,72,1,13,8,478,564,11,413,492,10,7,12,41.3,5.036585365853659,>30,<6 rpo,ENG,Away,Upto 2014
A Ranatunga,SL,Pace,13 Jun 1983,Bristol,England,1983,WorldCup,ICC,1,1,22,12,0,13,10,359,519,14,337,507,14,9,12,24.071428571428573,3.9881656804733723,<=30,<6 rpo,ENG,Away,Upto 2014
A Ranatunga,SL,Pace,13 Mar 1992,Berri,Australia,1992,WorldCup,ICC,1,1,35,42,1,11,9,259,360,10,224,318,9,8,10,24.88888888888889,4.226415094339623,<=30,<6 rpo,AUS,Away,Upto 2014
A Ranatunga,SL,Pace,13 Mar 1996,Eden Gardens,India,1996,WorldCup,ICC,1,0,0,0,0,9,5,162,186,5,162,186,5,5,8,32.4,5.225806451612903,>30,<6 rpo,IND,Away,Upto 2014
A Ranatunga,SL,Pace,13 Oct 1987,Karachi,Pakistan,1987,WorldCup,ICC,1,1,18,12,0,11,9,364,336,6,346,324,6,8,10,57.666666666666664,6.407407407407408,>30,>=6 rpo,PAK,Away,Upto 2014
A Ranatunga,SL,Pace,14 May 1999,Lord's,England,1999,WorldCup,ICC,1,0,0,0,0,13,9,282,442,11,282,442,11,9,12,25.636363636363637,3.8280542986425337,<=30,<6 rpo,ENG,Away,Upto 2014
A Ranatunga,SL,Pace,15 Mar 1992,W.A.C.A,Australia,1992,WorldCup,ICC,1,0,0,0,0,11,9,330,499,8,330,499,8,9,10,41.25,3.967935871743487,>30,<6 rpo,AUS,Away,Upto 2014
A Ranatunga,SL,Pace,16 Jun 1983,Leeds,England,1983,WorldCup,ICC,1,1,49,66,0,11,8,277,423,9,228,357,9,7,10,25.333333333333332,3.8319327731092434,<=30,<6 rpo,ENG,Away,Upto 2014
A Ranatunga,SL,Pace,17 Mar 1996,Lahore,Pakistan,1996,WorldCup,ICC,1,0,0,0,0,10,6,203,242,3,203,242,3,6,9,67.66666666666667,5.033057851239669,>30,<6 rpo,PAK,Away,Upto 2014
A Ranatunga,SL,Pace,17 Oct 1987,Peshawar,Pakistan,1987,WorldCup,ICC,1,1,40,36,0,13,10,286,354,5,246,318,5,9,12,49.2,4.6415094339622645,>30,<6 rpo,PAK,Away,Upto 2014
A Ranatunga,SL,Pace,18 Jun 1983,Derby,England,1983,WorldCup,ICC,1,1,50,60,0,14,11,318,595,13,268,535,13,10,13,20.615384615384617,3.005607476635514,<=30,<6 rpo,ENG,Away,Upto 2014
A Ranatunga,SL,Pace,19 May 1999,Northampton,England,1999,WorldCup,ICC,1,0,0,0,0,12,8,242,392,15,242,392,15,8,11,16.133333333333333,3.704081632653061,<=30,<6 rpo,ENG,Away,Upto 2014
A Ranatunga,SL,Pace,2 Mar 1992,Wellington,New Zealand,1992,WorldCup,ICC,1,1,26,36,2,11,7,216,359,8,190,323,6,6,10,31.666666666666668,3.5294117647058822,>30,<6 rpo,NZ,Away,Upto 2014
A Ranatunga,SL,Pace,2 Mar 1996,Delhi,India,1996,WorldCup,ICC,1,1,23,24,0,10,7,292,298,2,269,274,2,6,9,134.5,5.890510948905109,>30,<6 rpo,IND,Away,Upto 2014
A Ranatunga,SL,Pace,20 Jun 1983,Leeds,England,1983,WorldCup,ICC,1,1,1,1,0,13,9,204,395,9,203,394,9,8,12,22.555555555555557,3.091370558375635,<=30,<6 rpo,ENG,Away,Upto 2014
A Ranatunga,SL,Pace,21 Feb 1996,Colombo (SSC),Sri Lanka,1996,WorldCup,ICC,1,1,14,12,0,10,7,212,264,5,198,252,5,6,9,39.6,4.714285714285714,>30,<6 rpo,SL,Home,Upto 2014
A Ranatunga,SL,Pace,21 Oct 1987,Kanpur,India,1987,WorldCup,ICC,1,0,0,0,0,11,6,222,294,9,222,294,9,6,10,24.666666666666668,4.530612244897959,<=30,<6 rpo,IND,Away,Upto 2014
A Ranatunga,SL,Pace,22 May 1999,Worcester,England,1999,WorldCup,ICC,1,0,0,0,0,11,9,300,438,10,300,438,10,9,10,30.0,4.10958904109589,<=30,<6 rpo,ENG,Away,Upto 2014
A Ranatunga,SL,Pace,23 Feb 1992,New Plymouth,New Zealand,1992,WorldCup,ICC,1,0,0,0,0,11,8,491,446,8,491,446,8,8,10,61.375,6.605381165919282,>30,>=6 rpo,NZ,Away,Upto 2014
A Ranatunga,SL,Pace,25 Feb 1992,Hamilton,New Zealand,1992,WorldCup,ICC,1,1,22,24,0,13,9,285,398,8,263,374,8,8,12,32.875,4.219251336898396,>30,<6 rpo,NZ,Away,Upto 2014
A Ranatunga,SL,Pace,25 Oct 1987,Faisalabad,Pakistan,1987,WorldCup,ICC,1,0,0,0,0,10,6,243,288,4,243,288,4,6,9,60.75,5.0625,>30,<6 rpo,PAK,Away,Upto 2014
A Ranatunga,SL,Pace,26 May 1999,Taunton,England,1999,WorldCup,ICC,1,0,0,0,0,12,9,423,405,11,423,405,11,9,11,38.45454545454545,6.2666666666666675,>30,>=6 rpo,ENG,Away,Upto 2014
A Ranatunga,SL,Pace,28 Feb 1992,Mackay,Australia,1992,WorldCup,ICC,1,0,0,0,0,11,1,1,2,0,1,2,0,1,10,inf,3.0,>30,<6 rpo,AUS,Away,Upto 2014
A Ranatunga,SL,Pace,30 May 1999,Southampton,England,1999,WorldCup,ICC,1,0,0,0,0,8,6,273,330,11,273,330,11,6,7,24.818181818181817,4.963636363636364,<=30,<6 rpo,ENG,Away,Upto 2014
A Ranatunga,SL,Pace,6 Mar 1996,Kandy,Sri Lanka,1996,WorldCup,ICC,1,1,31,30,2,9,8,351,288,6,320,258,4,7,8,80.0,7.441860465116279,>30,>=6 rpo,SL,Home,Upto 2014
A Ranatunga,SL,Pace,7 Mar 1992,Adelaide,Australia,1992,WorldCup,ICC,1,1,11,6,0,9,8,210,336,4,199,330,4,7,8,49.75,3.618181818181818,>30,<6 rpo,AUS,Away,Upto 2014
A Ranatunga,SL,Pace,8 Oct 1987,Hyderabad (Sind),Pakistan,1987,WorldCup,ICC,1,0,0,0,0,11,8,309,356,9,309,356,9,8,10,34.333333333333336,5.207865168539326,>30,<6 rpo,PAK,Away,Upto 2014
A Ranatunga,SL,Pace,9 Jun 1983,Swansea,Wales,1983,WorldCup,ICC,1,1,53,54,0,13,9,433,510,10,380,456,10,8,12,38.0,5.0,>30,<6 rpo,Wales,Away,Upto 2014
A Ranatunga,SL,Pace,9 Mar 1992,Ballarat,Australia,1992,WorldCup,ICC,1,0,0,0,0,14,9,366,438,11,366,438,11,9,13,33.27272727272727,5.013698630136986,>30,<6 rpo,AUS,Away,Upto 2014
A Ranatunga,SL,Pace,9 Mar 1996,Faisalabad,Pakistan,1996,WorldCup,ICC,1,0,0,0,0,10,6,201,250,3,201,250,3,6,9,67.0,4.824,>30,<6 rpo,PAK,Away,Upto 2014
A Shahzad,ENG,Pace,11 Mar 2011,Chattogram,Bangladesh,2011,WorldCup,ICC,1,1,43,60,3,11,7,258,334,6,215,274,3,6,10,71.66666666666667,4.708029197080291,>30,<6 rpo,BAN,Away,Upto 2014
A Shahzad,ENG,Pace,27 Feb 2011,Bengaluru,India,2011,WorldCup,ICC,1,1,53,48,0,11,6,346,305,11,293,257,11,5,10,26.636363636363637,6.840466926070039,<=30,>=6 rpo,IND,Away,Upto 2014
A Symonds,AUS,Spin,11 Feb 2003,Johannesburg,South Africa,2003,WorldCup,ICC,1,0,0,0,0,10,3,153,153,3,153,153,3,3,9,51.0,6.0,>30,>=6 rpo,SA,Away,Upto 2014
A Symonds,AUS,Spin,13 Apr 2007,Bridgetown,West Indies,2007,WorldCup,ICC,1,1,7,18,1,10,3,21,60,2,14,42,1,2,9,14.0,2.0,<=30,<6 rpo,WI,Away,Upto 2014
A Symonds,AUS,Spin,15 Feb 2003,Centurion,South Africa,2003,WorldCup,ICC,1,1,25,36,0,13,5,121,174,3,96,138,3,4,12,32.0,4.173913043478261,>30,<6 rpo,SA,Away,Upto 2014
A Symonds,AUS,Spin,15 Mar 2003,Durban,South Africa,2003,WorldCup,ICC,1,0,0,0,0,11,4,122,194,6,122,194,6,4,10,20.333333333333332,3.7731958762886597,<=30,<6 rpo,SA,Away,Upto 2014
A Symonds,AUS,Spin,16 Apr 2007,St George's,West Indies,2007,WorldCup,ICC,1,1,15,18,0,12,7,210,280,5,195,262,5,6,11,39.0,4.465648854961832,>30,<6 rpo,WI,Away,Upto 2014
A Symonds,AUS,Spin,18 Mar 2003,Gqeberha,South Africa,2003,WorldCup,ICC,1,0,0,0,0,13,6,149,258,6,149,258,6,6,12,24.833333333333332,3.4651162790697674,<=30,<6 rpo,SA,Away,Upto 2014
A Symonds,AUS,Spin,2 Mar 2003,Gqeberha,South Africa,2003,WorldCup,ICC,1,1,20,12,0,9,6,155,264,3,135,252,3,5,8,45.0,3.2142857142857144,>30,<6 rpo,SA,Away,Upto 2014
A Symonds,AUS,Spin,20 Apr 2007,St George's,West Indies,2007,WorldCup,ICC,1,0,0,0,0,9,3,137,161,6,137,161,6,3,8,22.833333333333332,5.105590062111801,<=30,<6 rpo,WI,Away,Upto 2014
A Symonds,AUS,Spin,20 Feb 2003,Potchefstroom,South Africa,2003,WorldCup,ICC,1,1,36,42,0,7,4,99,132,2,63,90,2,3,6,31.5,4.199999999999999,>30,<6 rpo,SA,Away,Upto 2014
A Symonds,AUS,Spin,23 Mar 2003,Johannesburg,South Africa,2003,WorldCup,ICC,1,1,7,12,2,12,8,220,222,5,213,210,3,7,11,71.0,6.085714285714285,>30,>=6 rpo,SA,Away,Upto 2014
A Symonds,AUS,Spin,24 Feb 2003,Bulawayo,Zimbabwe,2003,WorldCup,ICC,1,1,35,60,0,10,4,161,222,5,126,162,5,3,9,25.2,4.666666666666667,<=30,<6 rpo,ZIM,Away,Upto 2014
A Symonds,AUS,Spin,24 Mar 2007,Basseterre,West Indies,2007,WorldCup,ICC,1,1,19,12,0,7,3,94,84,3,75,72,3,2,6,25.0,6.25,<=30,>=6 rpo,WI,Away,Upto 2014
A Symonds,AUS,Spin,25 Apr 2007,Gros Islet,West Indies,2007,WorldCup,ICC,1,0,0,0,0,7,1,24,60,1,24,60,1,1,6,24.0,2.4000000000000004,<=30,<6 rpo,WI,Away,Upto 2014
A Symonds,AUS,Spin,27 Feb 2003,Potchefstroom,South Africa,2003,WorldCup,ICC,1,0,0,0,0,11,2,76,84,0,76,84,0,2,10,inf,5.428571428571429,>30,<6 rpo,SA,Away,Upto 2014
A Symonds,AUS,Spin,27 Mar 2007,North Sound,West Indies,2007,WorldCup,ICC,1,1,32,24,1,10,4,175,162,5,143,138,4,3,9,35.75,6.217391304347826,>30,>=6 rpo,WI,Away,Upto 2014
A Symonds,AUS,Spin,28 Apr 2007,Bridgetown,West Indies,2007,WorldCup,ICC,1,1,6,12,1,11,6,158,144,4,152,132,3,5,10,50.666666666666664,6.90909090909091,>30,>=6 rpo,WI,Away,Upto 2014
A Symonds,AUS,Spin,31 Mar 2007,North Sound,West Indies,2007,WorldCup,ICC,1,1,16,14,0,12,5,86,85,0,70,71,0,4,11,inf,5.915492957746479,>30,<6 rpo,WI,Away,Upto 2014
A Symonds,AUS,Spin,8 Apr 2007,North Sound,West Indies,2007,WorldCup,ICC,1,1,40,36,0,9,4,151,174,1,111,138,1,3,8,111.0,4.826086956521739,>30,<6 rpo,WI,Away,Upto 2014
A Turner,AUS,Spin,11 Jun 1975,The Oval,England,1975,WorldCup,ICC,1,0,0,0,0,12,5,251,282,6,251,282,6,5,11,41.833333333333336,5.340425531914894,>30,<6 rpo,ENG,Away,Upto 2014
A Turner,AUS,Spin,14 Jun 1975,The Oval,England,1975,WorldCup,ICC,1,0,0,0,0,10,3,62,120,3,62,120,3,3,9,20.666666666666668,3.1000000000000005,<=30,<6 rpo,ENG,Away,Upto 2014
A Turner,AUS,Spin,18 Jun 1975,Leeds,England,1975,WorldCup,ICC,1,0,0,0,0,10,0,0,0,0,0,0,0,0,9,,,,,ENG,Away,Upto 2014
A Turner,AUS,Spin,21 Jun 1975,Lord's,England,1975,WorldCup,ICC,1,0,0,0,0,9,0,0,0,0,0,0,0,0,8,,,,,ENG,Away,Upto 2014
A Turner,AUS,Spin,7 Jun 1975,Leeds,England,1975,WorldCup,ICC,1,0,0,0,0,12,2,62,84,1,62,84,1,2,11,62.0,4.428571428571429,>30,<6 rpo,ENG,Away,Upto 2014
A Zampa,AUS,Spin,1 Jun 2019,Bristol,England,2019,WorldCup,ICC,1,1,60,48,3,13,4,189,161,5,129,113,2,3,12,64.5,6.849557522123893,>30,>=6 rpo,ENG,Away,After 1965
A Zampa,AUS,Spin,11 Nov 2023,Pune,India,2023,WorldCup,ICC,1,1,32,60,2,15,5,235,246,2,203,186,0,4,14,inf,6.548387096774193,>30,>=6 rpo,IND,Away,After 1965
A Zampa,AUS,Spin,12 Oct 2023,Lucknow,India,2023,WorldCup,ICC,1,1,70,60,1,13,4,172,227,7,102,167,6,3,12,17.0,3.6646706586826348,<=30,<6 rpo,IND,Away,After 1965
A Zampa,AUS,Spin,16 Nov 2023,Eden Gardens,India,2023,WorldCup,ICC,1,1,55,42,0,14,6,200,300,6,145,258,6,5,13,24.166666666666668,3.3720930232558137,<=30,<6 rpo,IND,Away,After 1965
